Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canadá,CAN,13.03999996,12.77000046,12.25,12.77999973,12.75,13.31999969,13.51000023,13.40999985,13.5,13.39999962,13.39000034,13.32999992,12.89000034,12.10999966,12.27000046,11.67000008,16.67000008
Estados Unidos,USA,19,18.81999969,18.19000053,17.72999954,18.36000061,19.97999954,20.19000053,19.85000038,19.70999908,19.06999969,17.89999962,16.27000046,15.71000004,14.67000008,14.31000042,13.57999992,18.5
Viet Nam,VNM,,,,12.36999989,,12.88000011,10.68999958,10.77999973,11.65999985,12.32999992,12.17000008,12.61999989,11.84000015,12.01000023,10.63000011,17.04999924,18.12000084
